,Bahis Tipi,Tercih,Olasılıklar
0,Maç Sonucu,MS1,42
1,Maç Sonucu,MS0,19
2,Maç Sonucu,MS2,39
3,Toplam Gol Alt / Üst,0.5 ALT,3
4,Toplam Gol Alt / Üst,0.5 ÜST,97
5,Toplam Gol Alt / Üst,1.5 ALT,21
6,Toplam Gol Alt / Üst,1.5 ÜST,79
7,Toplam Gol Alt / Üst,2.5 ALT,40
8,Toplam Gol Alt / Üst,2.5 ÜST,60
9,Toplam Gol Alt / Üst,3.5 ALT,71
10,Toplam Gol Alt / Üst,3.5 ÜST,29
11,Toplam Gol Alt / Üst,4.5 ALT,85
12,Toplam Gol Alt / Üst,4.5 ÜST,15
13,Toplam Gol Alt / Üst,5.5 ALT,97
14,Toplam Gol Alt / Üst,5.5 ÜST,3
15,İlk Yarı / Maç Sonucu,1 / 1,22
16,İlk Yarı / Maç Sonucu,1 / 0,4
17,İlk Yarı / Maç Sonucu,1 / 2,5
18,İlk Yarı / Maç Sonucu,0 / 1,16
19,İlk Yarı / Maç Sonucu,0 / 0,12
20,İlk Yarı / Maç Sonucu,0 / 2,11
21,İlk Yarı / Maç Sonucu,2 / 1,4
22,İlk Yarı / Maç Sonucu,2 / 0,3
23,İlk Yarı / Maç Sonucu,2 / 2,23
24,Karşılıklı Gol,VAR,62
25,Karşılıklı Gol,YOK,38
26,İlk Yarı Alt / Üst,0.5 ALT,30
27,İlk Yarı Alt / Üst,0.5 ÜST,70
28,İlk Yarı Alt / Üst,1.5 ALT,71
29,İlk Yarı Alt / Üst,1.5 ÜST,29
30,İlk Yarı Alt / Üst,2.5 ALT,86
31,İlk Yarı Alt / Üst,2.5 ÜST,14
32,İlk Yarı Sonucu,1,31
33,İlk Yarı Sonucu,0,39
34,İlk Yarı Sonucu,2,30
35,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Alt,12
36,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Alt,3
37,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Alt,6
38,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Üst,30
39,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Üst,16
40,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Üst,33
41,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Alt,15
42,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Alt,14
43,Maç Sonucu ve Alt / Üst 2.5,2 ve 2.5 Alt,11
44,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Üst,27
45,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Üst,5
46,Maç Sonucu ve Alt / Üst 2.5,2 ve 1.5 Üst,28
47,Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Alt,32
