,Bahis Tipi,Tercih,Olasılıklar
38,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Üst,63
39,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Üst,5
40,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Üst,8
41,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Alt,27
42,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Alt,7
43,Maç Sonucu ve Alt / Üst 2.5,2 ve 2.5 Alt,4
44,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Üst,50
45,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Üst,3
46,Maç Sonucu ve Alt / Üst 2.5,2 ve 1.5 Üst,7
47,Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Alt,49
48,Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Alt,7
49,Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Alt,7
50,Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Üst,28
51,Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Üst,3
52,Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Üst,4
53,Maç Sonucu ve Alt / Üst 4.5,1 ve 4.5 Alt,64
54,Maç Sonucu ve Alt / Üst 4.5,0 ve 4.5 Alt,10
55,Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Alt,9
56,Maç Sonucu ve Alt / Üst 4.5,1 ve 4.5 Üst,13
57,Maç Sonucu ve Alt / Üst 4.5,0 ve 4.5 Üst,0
58,Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Üst,2
59,Çifte Şans,1 ve 0,87
60,Çifte Şans,1 ve 2,88
61,Çifte Şans,0 ve 2,21
62,Ev Sahibi Alt / Üst,0.5 Alt,11
63,Ev Sahibi Alt / Üst,0.5 Üst,87
64,Ev Sahibi Alt / Üst,1.5 Alt,30
65,Ev Sahibi Alt / Üst,1.5 Üst,68
66,Ev Sahibi Alt / Üst,2.5 Alt,56
67,Ev Sahibi Alt / Üst,2.5 Üst,42
68,Deplasman Alt / Üst,0.5 Alt,56
69,Deplasman Alt / Üst,0.5 Üst,42
70,Deplasman Alt / Üst,1.5 Alt,81
71,Deplasman Alt / Üst,1.5 Üst,17
72,Deplasman Alt / Üst,2.5 Alt,92
73,Deplasman Alt / Üst,2.5 Üst,6
74,Handikaplı Maç Sonucu,1 (0:1),50
75,Handikaplı Maç Sonucu,0 (0:1),27
76,Handikaplı Maç Sonucu,2 (0:1),21
77,Handikaplı Maç Sonucu,1 (1:0),87
78,Handikaplı Maç Sonucu,0 (1:0),7
79,Handikaplı Maç Sonucu,2 (1:0),4
80,Handikaplı Maç Sonucu,1 (2:0),94
81,Handikaplı Maç Sonucu,0 (2:0),2
82,Handikaplı Maç Sonucu,2 (2:0),2
83,Handikaplı Maç Sonucu,1 (0:2),31
84,Handikaplı Maç Sonucu,0 (0:2),19
85,Handikaplı Maç Sonucu,2 (0:2),48
86,Toplam Gol,0-1 gol,22
87,Toplam Gol,2-3 gol,41
88,Toplam Gol,4-5 gol,30
89,Toplam Gol,6+ gol,5
90,Hangi Yarıda Daha Çok Gol Olur,1,27
91,Hangi Yarıda Daha Çok Gol Olur,Eşit,22
92,Hangi Yarıda Daha Çok Gol Olur,2,49
93,Ev Sahibi Takım Hangi Yarıda Daha Çok Gol Atar,1,26
94,Ev Sahibi Takım Hangi Yarıda Daha Çok Gol Atar,Eşit,31
95,Ev Sahibi Takım Hangi Yarıda Daha Çok Gol Atar,2,41
96,Deplasman Takım Hangi Yarıda Daha Çok Gol Atar,1,14
97,Deplasman Takım Hangi Yarıda Daha Çok Gol Atar,Eşit,61
98,Deplasman Takım Hangi Yarıda Daha Çok Gol Atar,2,23
99,Ev Sahibi Takım Gol Yemeden Kazanır mı?,Evet,51
100,Ev Sahibi Takım Gol Yemeden Kazanır mı?,Hayır,47
101,Deplasman Takım Gol Yemeden Kazanır mı?,Evet,6
102,Deplasman Takım Gol Yemeden Kazanır mı?,Hayır,92
103,Ev Sahibi Takım Her İki Yarıyı da Kazanır mı,Evet,31
104,Ev Sahibi Takım Her İki Yarıyı da Kazanır mı,Hayır,67
105,Deplasman Takımı Her İki Yarıyı da Kazanır mı,Evet,1
106,Deplasman Takımı Her İki Yarıyı da Kazanır mı,Hayır,97
107,İlk Yarı Çifte Şans,1 ve 0,90
108,İlk Yarı Çifte Şans,1 ve 2,63
109,İlk Yarı Çifte Şans,0 ve 2,43
110,Hangi Takım Kaç Farkla Kazanır,Ev 3+,31
111,Hangi Takım Kaç Farkla Kazanır,Ev 2,19
112,Hangi Takım Kaç Farkla Kazanır,Ev 1,27
113,Hangi Takım Kaç Farkla Kazanır,Dep 1,7
114,Hangi Takım Kaç Farkla Kazanır,Dep 2,2
115,Hangi Takım Kaç Farkla Kazanır,Dep 3+,2
116,Hangi Takım Kaç Farkla Kazanır,0,10
117,İkinci Yarı Sonucu,1,58
118,İkinci Yarı Sonucu,0,30
119,İkinci Yarı Sonucu,2,10
120,Tek / Çift,Tek,54
121,Tek / Çift,Çift,44
122,Maç Skoru,1 – 0,14
123,Maç Skoru,2 – 0,13
124,Maç Skoru,2 – 1,8
125,Maç Skoru,3 – 0,14
126,Maç Skoru,3 – 1,5
127,Maç Skoru,3 – 2,4
128,Maç Skoru,4 – 0,10
129,Maç Skoru,4 – 1,4
130,Maç Skoru,4 – 2,1
131,Maç Skoru,5 – 0,0
132,Maç Skoru,5 – 1,2
133,Maç Skoru,6 – 0,0
134,Maç Skoru,0 – 0,5
135,Maç Skoru,1 – 1,2
136,Maç Skoru,2 – 2,3
137,Maç Skoru,3 – 3,0
138,Maç Skoru,0 – 1,3
139,Maç Skoru,0 – 2,1
140,Maç Skoru,1 – 2,2
141,Maç Skoru,0 – 3,1
142,Maç Skoru,1 – 3,1
143,Maç Skoru,2 – 3,2
144,Maç Skoru,0 – 4,1
145,Maç Skoru,1 – 4,0
146,Maç Skoru,2 – 4,0
147,Maç Skoru,0 – 5,0
148,Maç Skoru,1 – 5,0
149,Maç Skoru,0 – 6,0
150,Maç Skoru,Diğer,2
151,Maç Sonucu ve Karşılıklı Gol,1 ve Var,26
152,Maç Sonucu ve Karşılıklı Gol,1 ve Yok,51
153,Maç Sonucu ve Karşılıklı Gol,0 ve Var,5
154,Maç Sonucu ve Karşılıklı Gol,0 ve Yok,5
155,Maç Sonucu ve Karşılıklı Gol,2 ve Var,5
156,Maç Sonucu ve Karşılıklı Gol,2 ve Yok,6
157,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,1 ve Var,4
158,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,1 ve Yok,51
159,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,0 ve Var,9
160,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,0 ve Yok,26
161,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,2 ve Var,0
162,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,2 ve Yok,8
163,Altı/Üstü ve Karşılıklı Gol,Alt ve Var 2.5,2
164,Altı/Üstü ve Karşılıklı Gol,Üst ve Var 2.5,34
165,Altı/Üstü ve Karşılıklı Gol,Alt ve Yok 2.5,36
166,Altı/Üstü ve Karşılıklı Gol,Üst ve Yok 2.5,26
167,İlk Yarı Skoru,0 – 0,26
168,İlk Yarı Skoru,1 – 1,9
169,İlk Yarı Skoru,2 – 2,0
170,İlk Yarı Skoru,1 – 0,26
171,İlk Yarı Skoru,2 – 0,21
172,İlk Yarı Skoru,2 – 1,3
173,İlk Yarı Skoru,0 – 1,6
174,İlk Yarı Skoru,0 – 2,2
175,İlk Yarı Skoru,1 – 2,0
176,İlk Yarı Skoru,Diğer,5
177,İY/MS Skorları,0 – 0 / 0 – 0,5
178,İY/MS Skorları,0 – 0 / 0 – 1,1
179,İY/MS Skorları,0 – 0 / 0 – 2,1
180,İY/MS Skorları,0 – 0 / 0 – 3,0
181,İY/MS Skorları,0 – 0 / 1 – 0,9
182,İY/MS Skorları,0 – 0 / 1 – 1,1
183,İY/MS Skorları,0 – 0 / 1 – 2,1
184,İY/MS Skorları,0 – 0 / 2 – 0,2
185,İY/MS Skorları,0 – 0 / 2 – 1,1
186,İY/MS Skorları,0 – 0 / 3 – 0,2
187,İY/MS Skorları,0 – 0 / 4+,3
188,İY/MS Skorları,1 – 0 / 1 – 0,5
189,İY/MS Skorları,1 – 0 / 1 – 1,0
190,İY/MS Skorları,1 – 0 / 1 – 2,0
191,İY/MS Skorları,1 – 0 / 2 – 0,5
192,İY/MS Skorları,1 – 0 / 2 – 1,3
193,İY/MS Skorları,1 – 0 / 3 – 0,8
194,İY/MS Skorları,1 – 0 / 4+,5
195,İY/MS Skorları,0 – 1 / 0 – 1,2
196,İY/MS Skorları,0 – 1 / 0 – 2,0
197,İY/MS Skorları,0 – 1 / 0 – 3,1
198,İY/MS Skorları,0 – 1 / 1 – 1,1
199,İY/MS Skorları,0 – 1 / 1 – 2,0
200,İY/MS Skorları,0 – 1 / 2 – 1,1
201,İY/MS Skorları,0 – 1 / 4+,1
202,İY/MS Skorları,2 – 0 / 2 – 0,6
203,İY/MS Skorları,2 – 0 / 2 – 1,0
204,İY/MS Skorları,2 – 0 / 3 – 0,4
205,İY/MS Skorları,2 – 0 / 4+,11
206,İY/MS Skorları,1 – 1 / 1 – 1,0
207,İY/MS Skorları,1 – 1 / 1 – 2,0
208,İY/MS Skorları,1 – 1 / 2 – 1,2
209,İY/MS Skorları,1 – 1 / 4+,7
210,İY/MS Skorları,0 – 2 / 0 – 2,0
211,İY/MS Skorları,0 – 2 / 0 – 3,0
212,İY/MS Skorları,0 – 2 / 1 – 2,1
213,İY/MS Skorları,0 – 2 / 4+,1
214,İY/MS Skorları,3 – 0 / 3 – 0,0
215,İY/MS Skorları,3 – 0 / 4+,4
216,İY/MS Skorları,2 – 1 / 2 – 1,1
217,İY/MS Skorları,2 – 1 / 4+,2
218,İY/MS Skorları,1 – 2 / 1 – 2,0
219,İY/MS Skorları,1 – 2 / 4+,0
220,İY/MS Skorları,0 – 3 / 0 – 3,0
221,İY/MS Skorları,0 – 3 / 4+,0
222,İY/MS Skorları,4+ / 4+,1
223,İlk Yarı Tek/Çift,Tek,39
224,İlk Yarı Tek/Çift,Çift,59
225,İlk Yarı Karşılıklı Gol Var,Var,13
226,İlk Yarı Karşılıklı Gol Var,Yok,85
227,Ev Sahibi İlk Yarı Altı/Üstü,Alt 0.5,34
228,Ev Sahibi İlk Yarı Altı/Üstü,Üst 0.5,64
229,Deplasman İlk Yarı Altı/Üstü,Alt 0.5,77
230,Deplasman İlk Yarı Altı/Üstü,Üst 0.5,21
231,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,1 ve Alt 1.5,26
232,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,0 ve Alt 1.5,26
233,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,2 ve Alt 1.5,6
234,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,1 ve Üst 1.5,29
235,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,0 ve Üst 1.5,9
236,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,2 ve Üst 1.5,2
237,Ev Sahibi Yarı Kazanır,Evet,82
238,Ev Sahibi Yarı Kazanır,Hayır,16
239,Deplasman Yarı Kazanır,Evet,17
240,Deplasman Yarı Kazanır,Hayır,81
241,İki Yarı da Alt 1.5,Evet,28
242,İki Yarı da Alt 1.5,Hayır,70
243,İki Yarı da Üst 1.5,Evet,23
244,İki Yarı da Üst 1.5,Hayır,75
245,İkinci Yarı Karşılıklı Gol,Evet,24
246,İkinci Yarı Karşılıklı Gol,Hayır,74
